 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];
2958;-15;41;1029;-43;22;981;854;-610;-366;
2964;-13;42;1029;-43;22;981;854;-610;-366;
2970;-13;42;1031;-42;25;979;854;-671;-305;
2976;-13;42;1027;-42;25;979;854;-671;-305;
2982;-17;42;1029;-42;24;980;915;-732;-244;
2988;-17;41;1025;-40;25;980;976;-671;-366;
2994;-13;37;1033;-40;25;980;976;-671;-305;
3000;-13;37;1033;-43;25;979;976;-671;-305;
3006;-19;41;1029;-43;25;979;976;-671;-305;
3012;-15;44;1025;-42;24;980;976;-732;-366;
3018;-13;41;1033;-42;24;981;915;-671;-305;
3024;-11;39;1029;-42;24;981;915;-671;-305;
3030;-13;39;1027;-43;24;978;915;-671;-305;
3036;-11;37;1029;-43;24;978;915;-671;-305;
